Column1	pietrocurve	ourcurve								
label:x										
4.4	-0.0696126	-1.00231								
4.425	-0.0689319	-1.00231								
4.45	-0.0682674	-1.00231								
4.475	-0.0676187	-1.00231								
4.5	-0.0669852	-1.00231								
4.525	-0.0663666	-1.00231								
4.55	-0.0657622	-1.00231								
4.575	-0.0651718	-1.00231								
4.6	-0.0645947	-1.00231								
4.625	-0.0640307	-1.00231								
4.65	-0.0634793	-1.00231								
4.675	-0.0629402	-1.00231								
4.7	-0.0624128	-1.00231								
4.725	-0.061897	-1.00231								
4.75	-0.0613922	-1.00231								
4.775	-0.0608983	-1.00231								
4.8	-0.0604148	-1.00231								
4.825	-0.0599414	-1.00231								
4.85	-0.0594778	-1.00231								
4.875	-0.0590237	-1.00231								
4.9	-0.0585788	-1.00231								
4.925	-0.0581429	-1.00231								
4.95	-0.0577157	-1.00231								
4.975	-0.0572968	-1.00231								
5	-0.0568861	-1.00231								
5.025	-0.0564833	-1.00231								
5.05	-0.0560882	-1.00231								
5.075	-0.0557005	-1.00231								
5.1	-0.05532	-1.00231								
5.125	-0.0549464	-1.00231								
5.15	-0.0545797	-1.00231								
5.175	-0.0542196	-1.00231								
5.2	-0.0538658	-1.00231								
5.225	-0.0535183	-1.00231								
5.25	-0.0531767	-1.00231								
5.275	-0.052841	-1.00231								
5.3	-0.0525109	-1.00231								
5.325	-0.0521864	-1.00231								
5.35	-0.0518672	-1.00231								
5.375	-0.0515532	-1.00231								
5.4	-0.0512442	-1.00231								
5.425	-0.0509401	-1.00231								
5.45	-0.0506407	-1.00231								
5.475	-0.050346	-1.00231								
5.5	-0.0500557	-1.00231								
5.525	-0.0497698	-1.00231								
5.55	-0.0494882	-1.00231								
5.575	-0.0492106	-1.00231								
5.6	-0.048937	-1.00231								
5.625	-0.0486673	-1.00231								
5.65	-0.0484014	-1.00231								
5.675	-0.0481392	-1.00231								
5.7	-0.0478805	-1.00231								
5.725	-0.0476254	-1.00231								
5.75	-0.0473735	-1.00231								
5.775	-0.047125	-1.00231								
5.8	-0.0468797	-1.00231								
5.825	-0.0466375	-1.00231								
5.85	-0.0463983	-1.00231								
5.875	-0.046162	-1.00231								
5.9	-0.0459287	-1.00231								
5.925	-0.0456981	-1.00231								
5.95	-0.0454702	-1.00231								
5.975	-0.045245	-1.00231								
6	-0.0450224	-1.00231								
6.025	-0.0448023	-1.00231								
6.05	-0.0445847	-1.00231								
6.075	-0.0443694	-1.00231								
6.1	-0.0441565	-1.00231								
6.125	-0.0439458	-1.00231								
6.15	-0.0437373	-1.00231								
6.175	-0.0435311	-1.00231								
6.2	-0.0433269	-1.00231								
6.225	-0.0431248	-1.00231								
6.25	-0.0429246	-1.00231								
6.275	-0.0427265	-1.00231								
6.3	-0.0425302	-1.00231								
6.325	-0.0423359	-1.00231								
6.35	-0.0421433	-1.00231								
6.375	-0.0419525	-1.00231								
6.4	-0.0417635	-1.00231								
6.425	-0.0415762	-1.00231								
6.45	-0.0413905	-1.00231								
6.475	-0.0412065	-1.00231								
6.5	-0.041024	-1.00231								
6.525	-0.0408431	-1.00231								
6.55	-0.0406637	-1.00231								
6.575	-0.0404858	-1.00231								
6.6	-0.0403094	-1.00231								
6.625	-0.0401344	-1.00231								
6.65	-0.0399608	-1.00231								
6.675	-0.0397885	-1.00231								
6.7	-0.0396176	-1.00231								
6.725	-0.039448	-1.00231								
6.75	-0.0392797	-1.00231								
6.775	-0.0391127	-1.00231								
6.8	-0.0389468	-1.00231								
6.825	-0.0387822	-1.00231								
6.85	-0.0386188	-1.00231								
6.875	-0.0384566	-1.00231								
6.9	-0.0382954	-1.00231								
6.925	-0.0381354	-1.00231								
6.95	-0.0379765	-1.00231								
6.975	-0.0378187	-1.00231								
7	-0.037662	-1.00231								
7.025	-0.0375063	-1.00231								
7.05	-0.0373516	-1.00231								
7.075	-0.0371979	-1.00231								
7.1	-0.0370452	-1.00231								
7.125	-0.0368935	-1.00231								
7.15	-0.0367427	-1.00231								
7.175	-0.0365929	-1.00231								
7.2	-0.036444	-1.00231								
7.225	-0.036296	-1.00231								
7.25	-0.0361489	-1.00231								
7.275	-0.0360027	-1.00231								
7.3	-0.0358574	-1.00231								
7.325	-0.0357129	-1.00231								
7.35	-0.0355693	-1.00231								
7.375	-0.0354265	-1.00231								
7.4	-0.0352845	-1.00231								
7.425	-0.0351433	-1.00231								
7.45	-0.0350029	-1.00231								
7.475	-0.0348633	-1.00231								
7.5	-0.0347244	-1.00231								
7.525	-0.0345864	-1.00231								
7.55	-0.034449	-1.00231								
7.575	-0.0343124	-1.00231								
7.6	-0.0341766	-1.00231								
7.625	-0.0340415	-1.00231								
7.65	-0.0339071	-1.00231								
7.675	-0.0337733	-1.00231								
7.7	-0.0336403	-1.00231								
7.725	-0.033508	-1.00231								
7.75	-0.0333763	-1.00231								
7.775	-0.0332454	-1.00231								
